#Opcode number in hex - ascii representation of the opcode - relevance
#Order opcodes by value of hex number (0x10 < 0xFF < 0x7F00)
#Separate opcodes by a line feed only; no tabs, etc
#There must be one and only one space between each element (hex code, relevance, ascii)
#Other spaces are interpreted as being part of the ascii representation
#Remove leading 0's
#
E5AC ‼ 0
E5AC &!!; 0
E5AD ☆ 0
E5AD &star; 0
E5AE &2_rectangles; 0
E5AF &cross; 0
E5B0  0
E5B0 &bold_e; 0
E5B1 &bold_P; 0
E5B2 &bold_r; 0
E5B3 &bold_X; 0
E5B4 &bold_Y; 0
E5B5  0
E5B5 &negative_B; 0
E5B6  0
E5B6 &negative_R; 0
E5B7  0
E5B7 &negative_L; 0
E5B8  0
E5B8 &negative_=; 0
E5B9  0
E5B9 &negative_<; 0
E5BA  0
E5BA &negative_>; 0
E5BB  0
E5BB &negative_<=; 0
E5BC  0
E5BC &negative_>=; 0
E5BD ‚ 0
E5BD &left_bottom_'; 0
E5BE ± 0
E5BE &+-; 0
E5BF ∓ 0
E5BF &-+; 0
E5C0 ⁰ 0
E5C0 &^0; 0
E5C1 ¹ 0
E5C1 &^1; 0
E5C2 &^2_char; 0
E5C3 ³ 0
E5C3 &^3; 0
E5C4 ⁴ 0
E5C4 &^4; 0
E5C5 ⁵ 0
E5C5 &^5; 0
E5C6 ⁶ 0
E5C6 &^6; 0
E5C7 ⁷ 0
E5C7 &^7; 0
E5C8 ⁸ 0
E5C8 &^8; 0
E5C9 ⁹ 0
E5C9 &^9; 0
E5CA &^-1_char; 0
E5CB ⁺ 0
E5CB &^+; 0
E5CC ⁻ 0
E5CC &^-; 0
E5CD  0
E5CD &small_0; 0
E5CE  0
E5CE &small_1; 0
E5CF  0
E5CF &small_2; 0
E5D0 ₀ 0
E5D0 &_0; 0
E5D1 ₁ 0
E5D1 &_1; 0
E5D2 ₂ 0
E5D2 &_2; 0
E5D3 ₃ 0
E5D3 &_3; 0
E5D4 ₄ 0
E5D4 &_4; 0
E5D5 ₅ 0
E5D5 &_5; 0
E5D6 ₆ 0
E5D6 &_6; 0
E5D7 ₇ 0
E5D7 &_7; 0
E5D8 ₈ 0
E5D8 &_8; 0
E5D9 ₉ 0
E5D9 &_9; 0
E5DA  0
E5DA &_-1; 0
E5DB ₊ 0
E5DB &_+; 0
E5DC ₋ 0
E5DC &_-; 0
E5DD  0
E5DD &^*; 0
E5DE  0
E5DE &small_n; 0
E5DF  0
E5DF &^3_with_style; 0
E5E0 ♠ 0
E5E0 &spade; 0
E5E1 ♣ 0
E5E1 &club; 0
E5E2 ♥ 0
E5E2 &heart; 0
E5E3 ♦ 0
E5E3 &diamond; 0
E5E8 ⇦ 0
E5E8 &left_white_arrow; 0
E5E9 ⇨ 0
E5E9 &right_white_arrow; 0
E5EA ⇧ 0
E5EA &up_white_arrow; 0
E5EB ⇩ 0
E5EB &down_white_arrow; 0
E5EC ☜ 0
E5EC &left_index; 0
E5ED ☞ 0
E5ED &right_index; 0
E5EE ☝ 0
E5EE &up_index; 0
E5EF ☟ 0
E5EF &down_index; 0
E5F0 ① 0
E5F0 &circled_1; 0
E5F1 ② 0
E5F1 &circled_2; 0
E5F2 ③ 0
E5F2 &circled_3; 0
E5F3 ④ 0
E5F3 &circled_4; 0
E5F4 ⑤ 0
E5F4 &circled_5; 0
E5F5 ⑥ 0
E5F5 &circled_6; 0
E5FB ⑦ 0
E5FB &circled_7; 0
E5FC ⑧ 0
E5FC &circled_8; 0
E5FD ⑨ 0
E5FD &circled_9; 0
e601 à 0
e601 &agrave; 0
